year,instance,predicted_class,true_class,test
1990,veneration,+sanctity,+authority,categorization
1990,comply,+authority,+authority,categorization
1990,piety,+sanctity,+sanctity,categorization
1990,pious,+sanctity,+sanctity,categorization
1990,purity,+sanctity,+sanctity,categorization
1990,pure,+sanctity,+sanctity,categorization
1990,clean,+care,+sanctity,categorization
1990,sacred,+sanctity,+sanctity,categorization
1990,chaste,+sanctity,+sanctity,categorization
1990,chastity,+sanctity,+sanctity,categorization
1990,holy,+sanctity,+sanctity,categorization
1990,holiness,+sanctity,+sanctity,categorization
1990,sanctify,-sanctity,+sanctity,categorization
1990,saint,+sanctity,+sanctity,categorization
1990,wholesome,+sanctity,+sanctity,categorization
1990,celibacy,+sanctity,+sanctity,categorization
1990,virgin,+sanctity,+sanctity,categorization
1990,virgins,+sanctity,+sanctity,categorization
1990,austerity,+sanctity,+sanctity,categorization
1990,integrity,+care,+sanctity,categorization
1990,modesty,+sanctity,+sanctity,categorization
1990,abstinence,+sanctity,+sanctity,categorization
1990,abstain,-fairness,+sanctity,categorization
1990,upright,+sanctity,+sanctity,categorization
1990,maiden,+sanctity,+sanctity,categorization
1990,virtuous,+sanctity,+sanctity,categorization
1990,refined,+sanctity,+sanctity,categorization
1990,decent,+fairness,+sanctity,categorization
1990,decency,+fairness,+sanctity,categorization
1990,innocent,-care,+sanctity,categorization
1990,church,+sanctity,+sanctity,categorization
1990,harm,-care,-care,categorization
1990,injure,-care,-care,categorization
1990,injurious,-care,-care,categorization
1990,suffer,-care,-care,categorization
1990,war,-care,-care,categorization
1990,wars,-authority,-care,categorization
1990,warlike,-sanctity,-care,categorization
1990,fight,-care,-care,categorization
1990,battle,-care,-care,categorization
1990,violence,-authority,-care,categorization
1990,violent,-care,-care,categorization
1990,hurt,-care,-care,categorization
1990,kill,-care,-care,categorization
1990,kills,-sanctity,-care,categorization
1990,killed,-care,-care,categorization
1990,killing,-care,-care,categorization
1990,endanger,-care,-care,categorization
1990,cruel,-sanctity,-care,categorization
1990,brutal,-authority,-care,categorization
1990,abuse,-fairness,-care,categorization
1990,damage,-care,-care,categorization
1990,detrimental,-care,-care,categorization
1990,detriment,-fairness,-care,categorization
1990,crush,-care,-care,categorization
1990,attack,-care,-care,categorization
1990,annihilate,-authority,-care,categorization
1990,destroy,-care,-care,categorization
1990,impair,+fairness,-care,categorization
1990,wound,-care,-care,categorization
1990,unfair,-fairness,-fairness,categorization
1990,unequal,-fairness,-fairness,categorization
1990,bias,-fairness,-fairness,categorization
1990,unjust,-authority,-fairness,categorization
1990,injustice,-sanctity,-fairness,categorization
1990,bigotry,-sanctity,-fairness,categorization
1990,discrimination,-fairness,-fairness,categorization
1990,discriminate,-fairness,-fairness,categorization
1990,disproportion,-sanctity,-fairness,categorization
1990,prejudice,-fairness,-fairness,categorization
1990,preference,+authority,-fairness,categorization
1990,exclusion,-fairness,-fairness,categorization
1990,exclusive,+authority,-fairness,categorization
1990,exclude,-fairness,-fairness,categorization
1990,foreign,+authority,-loyalty,categorization
1990,enemy,-care,-loyalty,categorization
1990,individual,+loyalty,-loyalty,categorization
1990,deceive,-sanctity,-loyalty,categorization
1990,deception,-care,-loyalty,categorization
1990,spy,+loyalty,-loyalty,categorization
1990,defiance,-authority,-authority,categorization
1990,rebel,-authority,-authority,categorization
1990,dissent,+authority,-authority,categorization
1990,overthrow,-authority,-authority,categorization
1990,subvert,-authority,-authority,categorization
1990,seditious,-sanctity,-authority,categorization
1990,sedition,-authority,-authority,categorization
1990,agitated,-sanctity,-authority,categorization
1990,illegal,-fairness,-authority,categorization
1990,lawless,-sanctity,-authority,categorization
1990,defy,-authority,-authority,categorization
1990,alienate,+care,-authority,categorization
1990,oppose,-authority,-authority,categorization
1990,protest,-authority,-authority,categorization
1990,refuse,+authority,-authority,categorization
1990,riot,-authority,-authority,categorization
1990,obstruct,-care,-authority,categorization
1990,disgust,-sanctity,-sanctity,categorization
1990,corruption,-sanctity,-sanctity,categorization
1990,depraved,-sanctity,-sanctity,categorization
1990,disease,-care,-sanctity,categorization
1990,unclean,-sanctity,-sanctity,categorization
1990,dirt,-sanctity,-sanctity,categorization
1990,contagion,-sanctity,-sanctity,categorization
1990,indecent,-authority,-sanctity,categorization
1990,sin,-sanctity,-sanctity,categorization
1990,iniquity,-sanctity,-sanctity,categorization
1990,sinful,-sanctity,-sanctity,categorization
1990,sinner,-sanctity,-sanctity,categorization
1990,sins,-sanctity,-sanctity,categorization
1990,sinned,-sanctity,-sanctity,categorization
1990,whore,+sanctity,-sanctity,categorization
1990,impiety,-sanctity,-sanctity,categorization
1990,impious,-sanctity,-sanctity,categorization
1990,profane,-sanctity,-sanctity,categorization
1990,gross,-fairness,-sanctity,categorization
1990,repulse,-care,-sanctity,categorization
1990,sick,+care,-sanctity,categorization
1990,promiscuous,-sanctity,-sanctity,categorization
1990,adultery,-sanctity,-sanctity,categorization
1990,debauchery,-sanctity,-sanctity,categorization
1990,defile,-sanctity,-sanctity,categorization
1990,prostitute,-sanctity,-sanctity,categorization
1990,intemperate,-sanctity,-sanctity,categorization
1990,wanton,-sanctity,-sanctity,categorization
1990,profligate,-sanctity,-sanctity,categorization
1990,filth,-sanctity,-sanctity,categorization
1990,tainted,-sanctity,-sanctity,categorization
1990,stain,+sanctity,-sanctity,categorization
1990,debased,-sanctity,-sanctity,categorization
1990,wickedness,-sanctity,-sanctity,categorization
1990,wicked,-sanctity,-sanctity,categorization
1990,blemish,-sanctity,-sanctity,categorization
1990,pervert,-sanctity,-sanctity,categorization
1990,wretched,-sanctity,-sanctity,categorization
1990,cap,neutral,neutral,null_test
1990,ton,neutral,neutral,null_test
1990,circumstance,moral,neutral,null_test
1990,induce,moral,neutral,null_test
1990,manufacturing,neutral,neutral,null_test
1990,manufacture,neutral,neutral,null_test
1990,platform,neutral,neutral,null_test
1990,franchise,neutral,neutral,null_test
1990,spur,neutral,neutral,null_test
1990,vertical,neutral,neutral,null_test
1990,capricious,moral,neutral,null_test
1990,horn,neutral,neutral,null_test
1990,beaver,neutral,neutral,null_test
1990,eleven,neutral,neutral,null_test
1990,traverse,neutral,neutral,null_test
1990,net,neutral,neutral,null_test
1990,credit,neutral,neutral,null_test
1990,minister,neutral,neutral,null_test
1990,retail,neutral,neutral,null_test
1990,seal,neutral,neutral,null_test
1990,tempt,moral,neutral,null_test
1990,rotation,neutral,neutral,null_test
1990,ought,moral,neutral,null_test
1990,forge,neutral,neutral,null_test
1990,acquisition,neutral,neutral,null_test
1990,repose,moral,neutral,null_test
1990,indication,neutral,neutral,null_test
1990,orb,neutral,neutral,null_test
1990,vent,neutral,neutral,null_test
1990,edifice,neutral,neutral,null_test
1990,vowel,neutral,neutral,null_test
1990,staple,neutral,neutral,null_test
1990,sub,neutral,neutral,null_test
1990,forty,neutral,neutral,null_test
1990,testament,neutral,neutral,null_test
1990,barometer,neutral,neutral,null_test
1990,treatment,moral,neutral,null_test
1990,customary,moral,neutral,null_test
1990,pork,neutral,neutral,null_test
1990,bar,neutral,neutral,null_test
1990,multitude,moral,neutral,null_test
1990,pace,neutral,neutral,null_test
1990,column,neutral,neutral,null_test
1990,context,neutral,neutral,null_test
1990,strand,neutral,neutral,null_test
1990,machine,neutral,neutral,null_test
1990,shout,neutral,neutral,null_test
1990,extension,neutral,neutral,null_test
1990,brazen,neutral,neutral,null_test
1990,ruler,neutral,neutral,null_test
1990,depend,neutral,neutral,null_test
1990,invisible,moral,neutral,null_test
1990,borough,neutral,neutral,null_test
1990,technical,neutral,neutral,null_test
1990,reduction,neutral,neutral,null_test
1990,contain,neutral,neutral,null_test
1990,project,neutral,neutral,null_test
1990,third,neutral,neutral,null_test
1990,convention,neutral,neutral,null_test
1990,revolving,neutral,neutral,null_test
1990,principle,moral,neutral,null_test
1990,pagan,moral,neutral,null_test
1990,teeth,neutral,neutral,null_test
1990,chalk,neutral,neutral,null_test
1990,probability,neutral,neutral,null_test
1990,rampart,neutral,neutral,null_test
1990,boar,neutral,neutral,null_test
1990,nitrate,neutral,neutral,null_test
1990,antiquated,neutral,neutral,null_test
1990,fir,neutral,neutral,null_test
1990,observer,neutral,neutral,null_test
1990,apartments,neutral,neutral,null_test
1990,priesthood,moral,neutral,null_test
1990,council,neutral,neutral,null_test
1990,reinforcement,neutral,neutral,null_test
1990,preposterous,moral,neutral,null_test
1990,semblance,moral,neutral,null_test
1990,stretch,neutral,neutral,null_test
1990,trunk,neutral,neutral,null_test
1990,iron,neutral,neutral,null_test
1990,hydrogen,neutral,neutral,null_test
1990,news,neutral,neutral,null_test
1990,sovereign,moral,neutral,null_test
1990,apparent,neutral,neutral,null_test
1990,forehead,neutral,neutral,null_test
1990,diffuse,neutral,neutral,null_test
1990,fence,neutral,neutral,null_test
1990,convent,neutral,neutral,null_test
1990,duel,moral,neutral,null_test
1990,alteration,neutral,neutral,null_test
1990,application,neutral,neutral,null_test
1990,bag,neutral,neutral,null_test
1990,brass,neutral,neutral,null_test
1990,publisher,neutral,neutral,null_test
1990,bit,neutral,neutral,null_test
1990,granite,neutral,neutral,null_test
1990,examination,neutral,neutral,null_test
1990,comparative,neutral,neutral,null_test
1990,translator,neutral,neutral,null_test
1990,concern,moral,neutral,null_test
1990,ostentatious,moral,neutral,null_test
1990,reform,neutral,neutral,null_test
1990,rope,neutral,neutral,null_test
1990,drake,neutral,neutral,null_test
1990,dorsal,neutral,neutral,null_test
1990,temperance,moral,neutral,null_test
1990,manual,neutral,neutral,null_test
1990,director,neutral,neutral,null_test
1990,discerning,moral,neutral,null_test
1990,flank,neutral,neutral,null_test
1990,steel,neutral,neutral,null_test
1990,indicate,neutral,neutral,null_test
1990,interval,neutral,neutral,null_test
1990,shorten,neutral,neutral,null_test
1990,inconceivable,moral,neutral,null_test
1990,testimony,moral,neutral,null_test
1990,intermediate,neutral,neutral,null_test
1990,cock,neutral,neutral,null_test
1990,brand,neutral,neutral,null_test
1990,recollect,moral,neutral,null_test
1990,stately,neutral,neutral,null_test
1990,fluid,neutral,neutral,null_test
1990,gazette,neutral,neutral,null_test
1990,diocese,neutral,neutral,null_test
1990,dock,neutral,neutral,null_test
1990,hour,neutral,neutral,null_test
1990,distribute,moral,neutral,null_test
1990,distinction,moral,neutral,null_test
1990,nod,neutral,neutral,null_test
1990,capture,moral,neutral,null_test
1990,armament,neutral,neutral,null_test
1990,section,neutral,neutral,null_test
1990,discreet,moral,neutral,null_test
1990,work,neutral,neutral,null_test
1990,modification,neutral,neutral,null_test
1990,gender,moral,neutral,null_test
1990,swell,neutral,neutral,null_test
1990,forum,neutral,neutral,null_test
1990,domestic,moral,neutral,null_test
1990,summary,neutral,neutral,null_test
1990,ordinary,moral,neutral,null_test
1990,surgeon,neutral,neutral,null_test
1990,conjure,neutral,neutral,null_test
1990,hull,neutral,neutral,null_test
1990,particular,neutral,neutral,null_test
1990,membrane,neutral,neutral,null_test
1990,domain,neutral,neutral,null_test
1990,dash,neutral,neutral,null_test
1990,remark,neutral,neutral,null_test
1990,metal,neutral,neutral,null_test
1990,post,neutral,neutral,null_test
1990,cunning,moral,neutral,null_test
1990,cavalry,neutral,neutral,null_test
1990,fore,neutral,neutral,null_test
1990,vacancy,neutral,neutral,null_test
1990,premises,moral,neutral,null_test
1990,bearer,moral,neutral,null_test
1990,compact,neutral,neutral,null_test
1990,lingering,moral,neutral,null_test
1990,narrow,neutral,neutral,null_test
1990,venison,neutral,neutral,null_test
1990,rod,neutral,neutral,null_test
1990,factory,neutral,neutral,null_test
1990,syllable,neutral,neutral,null_test
1990,dusky,neutral,neutral,null_test
1990,institute,neutral,neutral,null_test
1990,colonial,neutral,neutral,null_test
1990,hood,neutral,neutral,null_test
1990,momentary,moral,neutral,null_test
1990,debate,neutral,neutral,null_test
1990,paste,neutral,neutral,null_test
1990,saddle,neutral,neutral,null_test
1990,ardent,moral,neutral,null_test
1990,majority,moral,neutral,null_test
1990,lend,moral,neutral,null_test
1990,schoolmaster,neutral,neutral,null_test
1990,endure,moral,neutral,null_test
1990,entry,neutral,neutral,null_test
1990,inclined,moral,neutral,null_test
1990,executive,neutral,neutral,null_test
1990,arithmetic,neutral,neutral,null_test
1990,brink,neutral,neutral,null_test
1990,impenetrable,neutral,neutral,null_test
1990,quarterly,neutral,neutral,null_test
1990,superiority,moral,neutral,null_test
1990,moor,neutral,neutral,null_test
1990,wheat,neutral,neutral,null_test
1990,collar,neutral,neutral,null_test
1990,catholic,moral,neutral,null_test
1990,tin,neutral,neutral,null_test
1990,empress,neutral,neutral,null_test
1990,move,neutral,neutral,null_test
1990,metropolis,neutral,neutral,null_test
1990,barley,neutral,neutral,null_test
1990,cite,neutral,neutral,null_test
1990,steps,neutral,neutral,null_test
1990,fundamental,moral,neutral,null_test
1990,theology,neutral,neutral,null_test
1990,management,neutral,neutral,null_test
1990,organ,neutral,neutral,null_test
1990,ox,neutral,neutral,null_test
1990,shift,neutral,neutral,null_test
1990,steward,neutral,neutral,null_test
1990,permanent,neutral,neutral,null_test
1990,adjoining,neutral,neutral,null_test
1990,mud,neutral,neutral,null_test
1990,tooth,neutral,neutral,null_test
1990,wrist,neutral,neutral,null_test
1990,wall,neutral,neutral,null_test
1990,price,neutral,neutral,null_test
1990,fifteen,neutral,neutral,null_test
1990,occurrence,neutral,neutral,null_test
1990,due,neutral,neutral,null_test
1990,gilded,neutral,neutral,null_test
1990,scale,neutral,neutral,null_test
1990,industry,neutral,neutral,null_test
1990,chin,neutral,neutral,null_test
1990,shadow,neutral,neutral,null_test
1990,tool,neutral,neutral,null_test
1990,street,neutral,neutral,null_test
1990,cork,neutral,neutral,null_test
1990,retreat,neutral,neutral,null_test
1990,barrel,neutral,neutral,null_test
1990,ministry,neutral,neutral,null_test
1990,plain,neutral,neutral,null_test
1990,dark,neutral,neutral,null_test
1990,meek,moral,neutral,null_test
1990,lieutenant,neutral,neutral,null_test
1990,officer,moral,neutral,null_test
1990,change,neutral,neutral,null_test
1990,deacon,neutral,neutral,null_test
1990,dose,neutral,neutral,null_test
1990,safe,moral,moral,null_test
1990,peace,moral,moral,null_test
1990,compassionate,moral,moral,null_test
1990,compassion,moral,moral,null_test
1990,sympathy,moral,moral,null_test
1990,care,moral,moral,null_test
1990,protect,moral,moral,null_test
1990,protector,moral,moral,null_test
1990,protection,moral,moral,null_test
1990,shield,neutral,moral,null_test
1990,shelter,moral,moral,null_test
1990,amity,moral,moral,null_test
1990,secure,moral,moral,null_test
1990,benefit,moral,moral,null_test
1990,defend,moral,moral,null_test
1990,defender,moral,moral,null_test
1990,defence,moral,moral,null_test
1990,guard,moral,moral,null_test
1990,fair,moral,moral,null_test
1990,fairly,neutral,moral,null_test
1990,equal,moral,moral,null_test
1990,justice,moral,moral,null_test
1990,justness,moral,moral,null_test
1990,justification,moral,moral,null_test
1990,justifies,moral,moral,null_test
1990,justifiable,moral,moral,null_test
1990,reciprocal,neutral,moral,null_test
1990,impartiality,moral,moral,null_test
1990,impartial,moral,moral,null_test
1990,rights,moral,moral,null_test
1990,equity,neutral,moral,null_test
1990,equivalent,neutral,moral,null_test
1990,balance,neutral,moral,null_test
1990,reasonable,moral,moral,null_test
1990,constant,neutral,moral,null_test
1990,honest,moral,moral,null_test
1990,together,neutral,moral,null_test
1990,nation,moral,moral,null_test
1990,family,moral,moral,null_test
1990,families,moral,moral,null_test
1990,group,neutral,moral,null_test
1990,patriot,moral,moral,null_test
1990,community,moral,moral,null_test
1990,companion,neutral,moral,null_test
1990,comrades,moral,moral,null_test
1990,collective,moral,moral,null_test
1990,joint,neutral,moral,null_test
1990,unison,moral,moral,null_test
1990,unite,moral,moral,null_test
1990,fellow,moral,moral,null_test
1990,devote,moral,moral,null_test
1990,member,neutral,moral,null_test
1990,ally,moral,moral,null_test
1990,obedience,moral,moral,null_test
1990,obey,moral,moral,null_test
1990,obedient,moral,moral,null_test
1990,duty,moral,moral,null_test
1990,law,moral,moral,null_test
1990,lawful,moral,moral,null_test
1990,legality,moral,moral,null_test
1990,legal,moral,moral,null_test
1990,duties,moral,moral,null_test
1990,award,neutral,moral,null_test
1990,honor,moral,moral,null_test
1990,respect,moral,moral,null_test
1990,respectful,moral,moral,null_test
1990,respected,moral,moral,null_test
1990,respects,moral,moral,null_test
1990,order,moral,moral,null_test
1990,father,moral,moral,null_test
1990,mother,moral,moral,null_test
1990,mothers,moral,moral,null_test
1990,tradition,neutral,moral,null_test
1990,hierarchy,neutral,moral,null_test
1990,authority,moral,moral,null_test
1990,permit,moral,moral,null_test
1990,permission,neutral,moral,null_test
1990,rank,neutral,moral,null_test
1990,leader,neutral,moral,null_test
1990,lead,neutral,moral,null_test
1990,class,neutral,moral,null_test
1990,position,neutral,moral,null_test
1990,compliance,moral,moral,null_test
1990,command,neutral,moral,null_test
1990,supremacy,moral,moral,null_test
1990,control,moral,moral,null_test
1990,submission,moral,moral,null_test
1990,submit,moral,moral,null_test
1990,commit,moral,moral,null_test
1990,allegiance,moral,moral,null_test
1990,serve,neutral,moral,null_test
1990,abide,moral,moral,null_test
1990,deference,moral,moral,null_test
1990,defer,moral,moral,null_test
1990,revered,moral,moral,null_test
1990,idol,moral,moral,null_test
1990,fear,moral,moral,null_test
1990,veneration,moral,moral,null_test
1990,comply,moral,moral,null_test
1990,piety,moral,moral,null_test
1990,pious,moral,moral,null_test
1990,purity,moral,moral,null_test
1990,pure,moral,moral,null_test
1990,clean,neutral,moral,null_test
1990,sacred,moral,moral,null_test
1990,chaste,moral,moral,null_test
1990,chastity,moral,moral,null_test
1990,holy,moral,moral,null_test
1990,holiness,moral,moral,null_test
1990,sanctify,moral,moral,null_test
1990,saint,neutral,moral,null_test
1990,wholesome,moral,moral,null_test
1990,celibacy,moral,moral,null_test
1990,virgin,neutral,moral,null_test
1990,virgins,moral,moral,null_test
1990,austerity,moral,moral,null_test
1990,integrity,moral,moral,null_test
1990,modesty,moral,moral,null_test
1990,abstinence,moral,moral,null_test
1990,abstain,moral,moral,null_test
1990,upright,moral,moral,null_test
1990,maiden,neutral,moral,null_test
1990,virtuous,moral,moral,null_test
1990,refined,neutral,moral,null_test
1990,decent,moral,moral,null_test
1990,decency,moral,moral,null_test
1990,innocent,moral,moral,null_test
1990,church,neutral,moral,null_test
1990,harm,moral,moral,null_test
1990,injure,moral,moral,null_test
1990,injurious,moral,moral,null_test
1990,suffer,moral,moral,null_test
1990,war,moral,moral,null_test
1990,wars,moral,moral,null_test
1990,warlike,moral,moral,null_test
1990,fight,moral,moral,null_test
1990,battle,neutral,moral,null_test
1990,violence,moral,moral,null_test
1990,violent,moral,moral,null_test
1990,hurt,moral,moral,null_test
1990,kill,moral,moral,null_test
1990,kills,moral,moral,null_test
1990,killed,moral,moral,null_test
1990,killing,moral,moral,null_test
1990,endanger,moral,moral,null_test
1990,cruel,moral,moral,null_test
1990,brutal,moral,moral,null_test
1990,abuse,moral,moral,null_test
1990,damage,neutral,moral,null_test
1990,detrimental,moral,moral,null_test
1990,detriment,moral,moral,null_test
1990,crush,moral,moral,null_test
1990,attack,moral,moral,null_test
1990,annihilate,moral,moral,null_test
1990,destroy,moral,moral,null_test
1990,impair,moral,moral,null_test
1990,wound,neutral,moral,null_test
1990,unfair,moral,moral,null_test
1990,unequal,moral,moral,null_test
1990,bias,neutral,moral,null_test
1990,unjust,moral,moral,null_test
1990,injustice,moral,moral,null_test
1990,bigotry,moral,moral,null_test
1990,discrimination,moral,moral,null_test
1990,discriminate,moral,moral,null_test
1990,disproportion,neutral,moral,null_test
1990,prejudice,moral,moral,null_test
1990,preference,moral,moral,null_test
1990,exclusion,moral,moral,null_test
1990,exclusive,neutral,moral,null_test
1990,exclude,moral,moral,null_test
1990,foreign,moral,moral,null_test
1990,enemy,moral,moral,null_test
1990,individual,moral,moral,null_test
1990,deceive,moral,moral,null_test
1990,deception,moral,moral,null_test
1990,spy,neutral,moral,null_test
1990,defiance,moral,moral,null_test
1990,rebel,moral,moral,null_test
1990,dissent,moral,moral,null_test
1990,overthrow,moral,moral,null_test
1990,subvert,moral,moral,null_test
1990,seditious,moral,moral,null_test
1990,sedition,moral,moral,null_test
1990,agitated,neutral,moral,null_test
1990,illegal,moral,moral,null_test
1990,lawless,moral,moral,null_test
1990,defy,moral,moral,null_test
1990,alienate,moral,moral,null_test
1990,oppose,moral,moral,null_test
1990,protest,moral,moral,null_test
1990,refuse,moral,moral,null_test
1990,riot,moral,moral,null_test
1990,obstruct,moral,moral,null_test
1990,disgust,moral,moral,null_test
1990,corruption,moral,moral,null_test
1990,depraved,moral,moral,null_test
1990,disease,neutral,moral,null_test
1990,unclean,moral,moral,null_test
1990,dirt,neutral,moral,null_test
1990,contagion,moral,moral,null_test
1990,indecent,moral,moral,null_test
1990,sin,moral,moral,null_test
1990,iniquity,moral,moral,null_test
1990,sinful,moral,moral,null_test
1990,sinner,moral,moral,null_test
1990,sins,moral,moral,null_test
1990,sinned,moral,moral,null_test
1990,whore,moral,moral,null_test
1990,impiety,moral,moral,null_test
1990,impious,moral,moral,null_test
1990,profane,moral,moral,null_test
1990,gross,neutral,moral,null_test
1990,repulse,moral,moral,null_test
1990,sick,moral,moral,null_test
1990,promiscuous,moral,moral,null_test
1990,adultery,moral,moral,null_test
1990,debauchery,moral,moral,null_test
1990,defile,moral,moral,null_test
1990,prostitute,moral,moral,null_test
1990,intemperate,moral,moral,null_test
1990,wanton,moral,moral,null_test
1990,profligate,neutral,moral,null_test
1990,filth,moral,moral,null_test
1990,tainted,moral,moral,null_test
1990,stain,neutral,moral,null_test
1990,debased,moral,moral,null_test
1990,wickedness,moral,moral,null_test
1990,wicked,moral,moral,null_test
1990,blemish,moral,moral,null_test
1990,pervert,moral,moral,null_test
1990,wretched,moral,moral,null_test
1990,safe,pos,pos,polarity
1990,peace,pos,pos,polarity
1990,compassionate,pos,pos,polarity
1990,compassion,pos,pos,polarity
1990,sympathy,neg,pos,polarity
1990,care,pos,pos,polarity
1990,protect,pos,pos,polarity
1990,protector,pos,pos,polarity
1990,protection,pos,pos,polarity
1990,shield,neg,pos,polarity
1990,shelter,pos,pos,polarity
1990,amity,pos,pos,polarity
1990,secure,pos,pos,polarity
1990,benefit,pos,pos,polarity
1990,defend,pos,pos,polarity
1990,defender,pos,pos,polarity
1990,defence,pos,pos,polarity
1990,guard,pos,pos,polarity
1990,fair,pos,pos,polarity
1990,fairly,pos,pos,polarity
1990,equal,pos,pos,polarity
1990,justice,pos,pos,polarity
1990,justness,neg,pos,polarity
1990,justification,pos,pos,polarity
1990,justifies,neg,pos,polarity
1990,justifiable,neg,pos,polarity
1990,reciprocal,pos,pos,polarity
1990,impartiality,pos,pos,polarity
1990,impartial,pos,pos,polarity
1990,rights,pos,pos,polarity
1990,equity,pos,pos,polarity
1990,equivalent,pos,pos,polarity
1990,balance,pos,pos,polarity
1990,reasonable,pos,pos,polarity
1990,constant,pos,pos,polarity
1990,honest,pos,pos,polarity
1990,together,pos,pos,polarity
1990,nation,pos,pos,polarity
1990,family,pos,pos,polarity
1990,families,pos,pos,polarity
1990,group,pos,pos,polarity
1990,patriot,pos,pos,polarity
1990,community,pos,pos,polarity
1990,companion,pos,pos,polarity
1990,comrades,neg,pos,polarity
1990,collective,pos,pos,polarity
1990,joint,pos,pos,polarity
1990,unison,pos,pos,polarity
1990,unite,pos,pos,polarity
1990,fellow,pos,pos,polarity
1990,devote,pos,pos,polarity
1990,member,pos,pos,polarity
1990,ally,pos,pos,polarity
1990,obedience,pos,pos,polarity
1990,obey,pos,pos,polarity
1990,obedient,pos,pos,polarity
1990,duty,pos,pos,polarity
1990,law,pos,pos,polarity
1990,lawful,pos,pos,polarity
1990,legality,pos,pos,polarity
1990,legal,pos,pos,polarity
1990,duties,pos,pos,polarity
1990,award,pos,pos,polarity
1990,honor,pos,pos,polarity
1990,respect,pos,pos,polarity
1990,respectful,pos,pos,polarity
1990,respected,pos,pos,polarity
1990,respects,pos,pos,polarity
1990,order,pos,pos,polarity
1990,father,pos,pos,polarity
1990,mother,pos,pos,polarity
1990,mothers,pos,pos,polarity
