year,instance,predicted_class,true_class,test
1990,defer,+authority,+authority,categorization
1990,revered,+sanctity,+authority,categorization
1990,idol,-sanctity,+authority,categorization
1990,fear,-loyalty,+authority,categorization
1990,veneration,+sanctity,+authority,categorization
1990,comply,+authority,+authority,categorization
1990,preserve,+care,+sanctity,categorization
1990,piety,+sanctity,+sanctity,categorization
1990,pious,+sanctity,+sanctity,categorization
1990,purity,+sanctity,+sanctity,categorization
1990,pure,+sanctity,+sanctity,categorization
1990,clean,+care,+sanctity,categorization
1990,sacred,+sanctity,+sanctity,categorization
1990,chaste,+sanctity,+sanctity,categorization
1990,chastity,+sanctity,+sanctity,categorization
1990,holy,+sanctity,+sanctity,categorization
1990,holiness,+sanctity,+sanctity,categorization
1990,sanctify,-sanctity,+sanctity,categorization
1990,saint,+sanctity,+sanctity,categorization
1990,wholesome,+sanctity,+sanctity,categorization
1990,celibacy,+sanctity,+sanctity,categorization
1990,virgin,+sanctity,+sanctity,categorization
1990,virgins,-sanctity,+sanctity,categorization
1990,austerity,+sanctity,+sanctity,categorization
1990,integrity,+care,+sanctity,categorization
1990,modesty,+sanctity,+sanctity,categorization
1990,abstinence,+sanctity,+sanctity,categorization
1990,abstain,-fairness,+sanctity,categorization
1990,upright,+sanctity,+sanctity,categorization
1990,maiden,+sanctity,+sanctity,categorization
1990,virtuous,+sanctity,+sanctity,categorization
1990,refined,+sanctity,+sanctity,categorization
1990,decent,+fairness,+sanctity,categorization
1990,decency,+sanctity,+sanctity,categorization
1990,innocent,-care,+sanctity,categorization
1990,church,+sanctity,+sanctity,categorization
1990,harm,-care,-care,categorization
1990,injure,-care,-care,categorization
1990,injurious,-care,-care,categorization
1990,suffer,-care,-care,categorization
1990,war,-care,-care,categorization
1990,wars,-authority,-care,categorization
1990,warlike,-sanctity,-care,categorization
1990,fight,-care,-care,categorization
1990,battle,-loyalty,-care,categorization
1990,violence,-care,-care,categorization
1990,violent,-care,-care,categorization
1990,hurt,-care,-care,categorization
1990,kill,-care,-care,categorization
1990,kills,-sanctity,-care,categorization
1990,killed,-care,-care,categorization
1990,killing,-care,-care,categorization
1990,endanger,-care,-care,categorization
1990,cruel,-sanctity,-care,categorization
1990,brutal,-authority,-care,categorization
1990,abuse,-fairness,-care,categorization
1990,damage,-care,-care,categorization
1990,ruin,-sanctity,-care,categorization
1990,ruinous,-sanctity,-care,categorization
1990,detrimental,-care,-care,categorization
1990,detriment,+care,-care,categorization
1990,crush,-care,-care,categorization
1990,attack,-care,-care,categorization
1990,annihilate,-authority,-care,categorization
1990,destroy,-care,-care,categorization
1990,abandon,-loyalty,-care,categorization
1990,impair,+fairness,-care,categorization
1990,exploits,-sanctity,-care,categorization
1990,wound,-care,-care,categorization
1990,unfair,-fairness,-fairness,categorization
1990,unequal,-fairness,-fairness,categorization
1990,bias,-fairness,-fairness,categorization
1990,unjust,-care,-fairness,categorization
1990,injustice,-sanctity,-fairness,categorization
1990,bigotry,-authority,-fairness,categorization
1990,discrimination,-fairness,-fairness,categorization
1990,discriminate,-fairness,-fairness,categorization
1990,disproportion,-sanctity,-fairness,categorization
1990,prejudice,-fairness,-fairness,categorization
1990,preference,+authority,-fairness,categorization
1990,exclusion,-fairness,-fairness,categorization
1990,exclusive,+authority,-fairness,categorization
1990,exclude,-fairness,-fairness,categorization
1990,abandon,-care,-loyalty,categorization
1990,foreign,+authority,-loyalty,categorization
1990,enemy,-care,-loyalty,categorization
1990,betray,-authority,-loyalty,categorization
1990,treason,-authority,-loyalty,categorization
1990,traitor,-authority,-loyalty,categorization
1990,treachery,-authority,-loyalty,categorization
1990,perfidious,-authority,-loyalty,categorization
1990,individual,+loyalty,-loyalty,categorization
1990,deserted,-authority,-loyalty,categorization
1990,desert,-authority,-loyalty,categorization
1990,deserters,-authority,-loyalty,categorization
1990,deserting,-authority,-loyalty,categorization
1990,deceive,-sanctity,-loyalty,categorization
1990,deception,-care,-loyalty,categorization
1990,spy,-loyalty,-loyalty,categorization
1990,betray,-loyalty,-authority,categorization
1990,treason,-authority,-authority,categorization
1990,traitor,-loyalty,-authority,categorization
1990,treachery,-loyalty,-authority,categorization
1990,perfidious,-loyalty,-authority,categorization
1990,deserted,-loyalty,-authority,categorization
1990,desert,-loyalty,-authority,categorization
1990,deserters,-loyalty,-authority,categorization
1990,deserting,-loyalty,-authority,categorization
1990,defiance,+authority,-authority,categorization
1990,rebel,-authority,-authority,categorization
1990,dissent,+authority,-authority,categorization
1990,overthrow,-authority,-authority,categorization
1990,subvert,-authority,-authority,categorization
1990,seditious,-sanctity,-authority,categorization
1990,sedition,-authority,-authority,categorization
1990,agitated,-sanctity,-authority,categorization
1990,illegal,-fairness,-authority,categorization
1990,lawless,-sanctity,-authority,categorization
1990,defy,-authority,-authority,categorization
1990,alienate,+care,-authority,categorization
1990,heretic,-sanctity,-authority,categorization
1990,oppose,-authority,-authority,categorization
1990,protest,-authority,-authority,categorization
1990,refuse,+authority,-authority,categorization
1990,riot,-authority,-authority,categorization
1990,obstruct,-care,-authority,categorization
1990,ruin,-care,-sanctity,categorization
1990,ruinous,-sanctity,-sanctity,categorization
1990,exploits,+authority,-sanctity,categorization
1990,heretic,-authority,-sanctity,categorization
1990,disgust,-sanctity,-sanctity,categorization
1990,corruption,-sanctity,-sanctity,categorization
1990,depraved,-sanctity,-sanctity,categorization
1990,disease,-care,-sanctity,categorization
1990,unclean,-sanctity,-sanctity,categorization
1990,dirt,-sanctity,-sanctity,categorization
1990,contagion,-sanctity,-sanctity,categorization
1990,indecent,-authority,-sanctity,categorization
1990,sin,-sanctity,-sanctity,categorization
1990,iniquity,-sanctity,-sanctity,categorization
1990,sinful,-sanctity,-sanctity,categorization
1990,sinner,-sanctity,-sanctity,categorization
1990,sins,-sanctity,-sanctity,categorization
1990,sinned,-sanctity,-sanctity,categorization
1990,whore,+sanctity,-sanctity,categorization
1990,impiety,-sanctity,-sanctity,categorization
1990,impious,-sanctity,-sanctity,categorization
1990,profane,+sanctity,-sanctity,categorization
1990,gross,+fairness,-sanctity,categorization
1990,repulse,-care,-sanctity,categorization
1990,sick,-sanctity,-sanctity,categorization
1990,promiscuous,-sanctity,-sanctity,categorization
1990,adultery,-sanctity,-sanctity,categorization
1990,debauchery,-sanctity,-sanctity,categorization
1990,defile,-sanctity,-sanctity,categorization
1990,prostitute,-sanctity,-sanctity,categorization
1990,intemperate,-sanctity,-sanctity,categorization
1990,wanton,-sanctity,-sanctity,categorization
1990,profligate,-sanctity,-sanctity,categorization
1990,filth,-sanctity,-sanctity,categorization
1990,tainted,-sanctity,-sanctity,categorization
1990,stain,+sanctity,-sanctity,categorization
1990,debased,-sanctity,-sanctity,categorization
1990,wickedness,-sanctity,-sanctity,categorization
1990,wicked,-sanctity,-sanctity,categorization
1990,blemish,-sanctity,-sanctity,categorization
1990,pervert,-authority,-sanctity,categorization
1990,wretched,-sanctity,-sanctity,categorization
1980,safe,+care,+care,categorization
1980,peace,+care,+care,categorization
1980,compassionate,+sanctity,+care,categorization
1980,compassion,+sanctity,+care,categorization
1980,sympathy,+loyalty,+care,categorization
1980,care,+care,+care,categorization
1980,protect,+care,+care,categorization
1980,protector,+care,+care,categorization
1980,protection,+care,+care,categorization
1980,shield,+care,+care,categorization
1980,shelter,+care,+care,categorization
1980,amity,+sanctity,+care,categorization
1980,secure,+care,+care,categorization
1980,benefit,+care,+care,categorization
1980,defend,+care,+care,categorization
1980,defender,+care,+care,categorization
1980,defence,+care,+care,categorization
1980,guard,-loyalty,+care,categorization
1980,preserve,+care,+care,categorization
1980,fair,+fairness,+fairness,categorization
1980,fairly,+fairness,+fairness,categorization
1980,equal,+fairness,+fairness,categorization
1980,justice,+fairness,+fairness,categorization
1980,justness,-authority,+fairness,categorization
1980,justification,+fairness,+fairness,categorization
1980,justifies,+fairness,+fairness,categorization
1980,justifiable,+fairness,+fairness,categorization
1980,reciprocal,+fairness,+fairness,categorization
1980,impartiality,+fairness,+fairness,categorization
1980,impartial,+fairness,+fairness,categorization
1980,rights,+authority,+fairness,categorization
1980,equity,+fairness,+fairness,categorization
1980,equivalent,+fairness,+fairness,categorization
1980,balance,+fairness,+fairness,categorization
1980,reasonable,+fairness,+fairness,categorization
1980,constant,+fairness,+fairness,categorization
1980,honest,+sanctity,+fairness,categorization
1980,together,+loyalty,+loyalty,categorization
1980,nation,+loyalty,+loyalty,categorization
1980,family,+loyalty,+loyalty,categorization
1980,families,+loyalty,+loyalty,categorization
1980,group,+loyalty,+loyalty,categorization
1980,loyal,+authority,+loyalty,categorization
1980,patriot,-authority,+loyalty,categorization
1980,community,+loyalty,+loyalty,categorization
1980,companion,+loyalty,+loyalty,categorization
1980,comrades,+loyalty,+loyalty,categorization
1980,collective,+authority,+loyalty,categorization
1980,joint,+loyalty,+loyalty,categorization
1980,unison,+sanctity,+loyalty,categorization
1980,unite,+loyalty,+loyalty,categorization
1980,fellow,+loyalty,+loyalty,categorization
1980,devote,+authority,+loyalty,categorization
1980,member,+loyalty,+loyalty,categorization
1980,ally,+care,+loyalty,categorization
1980,preserve,+care,+authority,categorization
1980,loyal,+loyalty,+authority,categorization
1980,obedience,+authority,+authority,categorization
1980,obey,+authority,+authority,categorization
1980,obedient,+authority,+authority,categorization
1980,duty,+authority,+authority,categorization
1980,law,+authority,+authority,categorization
1980,lawful,+authority,+authority,categorization
1980,legality,+authority,+authority,categorization
1980,legal,+fairness,+authority,categorization
1980,duties,+authority,+authority,categorization
1980,award,+authority,+authority,categorization
1980,honor,+authority,+authority,categorization
1980,respect,+authority,+authority,categorization
1980,respectful,+sanctity,+authority,categorization
1980,respected,+loyalty,+authority,categorization
1980,respects,+authority,+authority,categorization
1980,order,+authority,+authority,categorization
1980,father,+authority,+authority,categorization
1980,mother,+sanctity,+authority,categorization
1980,mothers,+loyalty,+authority,categorization
1980,tradition,+sanctity,+authority,categorization
1980,hierarchy,+authority,+authority,categorization
1980,authority,+authority,+authority,categorization
1980,permit,+authority,+authority,categorization
1980,permission,+authority,+authority,categorization
1980,rank,+authority,+authority,categorization
1980,leader,+loyalty,+authority,categorization
1980,lead,-care,+authority,categorization
1980,class,+loyalty,+authority,categorization
1980,position,+authority,+authority,categorization
1980,compliance,+authority,+authority,categorization
1980,command,+authority,+authority,categorization
1980,supremacy,+authority,+authority,categorization
1980,control,+authority,+authority,categorization
1980,submission,+authority,+authority,categorization
1980,submit,+authority,+authority,categorization
1980,commit,-care,+authority,categorization
1980,allegiance,+authority,+authority,categorization
1980,serve,+authority,+authority,categorization
1980,abide,+authority,+authority,categorization
1980,deference,+authority,+authority,categorization
1980,defer,+authority,+authority,categorization
1980,revered,+sanctity,+authority,categorization
1980,idol,-loyalty,+authority,categorization
1980,fear,-care,+authority,categorization
1980,veneration,+sanctity,+authority,categorization
1980,comply,+authority,+authority,categorization
1980,preserve,+care,+sanctity,categorization
1980,piety,+sanctity,+sanctity,categorization
1980,pious,+sanctity,+sanctity,categorization
1980,purity,+sanctity,+sanctity,categorization
1980,pure,+sanctity,+sanctity,categorization
1980,clean,+sanctity,+sanctity,categorization
1980,sacred,+sanctity,+sanctity,categorization
1980,chaste,+sanctity,+sanctity,categorization
1980,chastity,+sanctity,+sanctity,categorization
1980,holy,+sanctity,+sanctity,categorization
1980,holiness,+sanctity,+sanctity,categorization
1980,sanctify,-sanctity,+sanctity,categorization
1980,saint,+sanctity,+sanctity,categorization
1980,wholesome,+sanctity,+sanctity,categorization
1980,celibacy,+sanctity,+sanctity,categorization
1980,virgin,+sanctity,+sanctity,categorization
1980,virgins,+sanctity,+sanctity,categorization
1980,austerity,+sanctity,+sanctity,categorization
1980,integrity,+care,+sanctity,categorization
1980,modesty,+sanctity,+sanctity,categorization
1980,abstinence,+sanctity,+sanctity,categorization
1980,abstain,+authority,+sanctity,categorization
1980,upright,+sanctity,+sanctity,categorization
1980,maiden,-sanctity,+sanctity,categorization
1980,virtuous,+sanctity,+sanctity,categorization
1980,refined,+sanctity,+sanctity,categorization
1980,decent,+sanctity,+sanctity,categorization
1980,decency,+sanctity,+sanctity,categorization
1980,innocent,-sanctity,+sanctity,categorization
1980,church,+loyalty,+sanctity,categorization
1980,harm,-care,-care,categorization
1980,injure,-care,-care,categorization
1980,injurious,-care,-care,categorization
1980,suffer,-care,-care,categorization
1980,war,-care,-care,categorization
1980,wars,-authority,-care,categorization
1980,warlike,-authority,-care,categorization
1980,fight,-care,-care,categorization
1980,battle,-care,-care,categorization
1980,violence,-authority,-care,categorization
1980,violent,-care,-care,categorization
1980,hurt,-care,-care,categorization
1980,kill,-care,-care,categorization
1980,kills,-sanctity,-care,categorization
1980,killed,-care,-care,categorization
1980,killing,-care,-care,categorization
1980,endanger,-care,-care,categorization
1980,cruel,-sanctity,-care,categorization
1980,brutal,-authority,-care,categorization
1980,abuse,-care,-care,categorization
1980,damage,-care,-care,categorization
1980,ruin,-care,-care,categorization
1980,ruinous,-sanctity,-care,categorization
1980,detrimental,-care,-care,categorization
1980,detriment,+care,-care,categorization
1980,crush,-care,-care,categorization
1980,attack,-care,-care,categorization
1980,annihilate,-loyalty,-care,categorization
1980,destroy,-care,-care,categorization
1980,abandon,-loyalty,-care,categorization
1980,impair,+authority,-care,categorization
1980,exploits,-sanctity,-care,categorization
1980,wound,-sanctity,-care,categorization
1980,unfair,-fairness,-fairness,categorization
1980,unequal,+fairness,-fairness,categorization
1980,bias,-fairness,-fairness,categorization
1980,unjust,-fairness,-fairness,categorization
1980,injustice,-care,-fairness,categorization
1980,bigotry,-sanctity,-fairness,categorization
1980,discrimination,-fairness,-fairness,categorization
1980,discriminate,-fairness,-fairness,categorization
1980,disproportion,-sanctity,-fairness,categorization
1980,prejudice,-fairness,-fairness,categorization
1980,preference,+authority,-fairness,categorization
1980,exclusion,-fairness,-fairness,categorization
1980,exclusive,+authority,-fairness,categorization
1980,exclude,-fairness,-fairness,categorization
1980,abandon,-care,-loyalty,categorization
1980,foreign,+fairness,-loyalty,categorization
1980,enemy,-care,-loyalty,categorization
1980,betray,-authority,-loyalty,categorization
1980,treason,-authority,-loyalty,categorization
1980,traitor,-authority,-loyalty,categorization
1980,treachery,-authority,-loyalty,categorization
1980,perfidious,-sanctity,-loyalty,categorization
1980,individual,+authority,-loyalty,categorization
1980,deserted,-authority,-loyalty,categorization
1980,desert,-sanctity,-loyalty,categorization
1980,deserters,-authority,-loyalty,categorization
1980,deserting,-authority,-loyalty,categorization
1980,deceive,-sanctity,-loyalty,categorization
1980,deception,-care,-loyalty,categorization
1980,spy,-loyalty,-loyalty,categorization
1980,betray,-loyalty,-authority,categorization
1980,treason,-loyalty,-authority,categorization
1980,traitor,-loyalty,-authority,categorization
1980,treachery,-loyalty,-authority,categorization
1980,perfidious,-sanctity,-authority,categorization
1980,deserted,-loyalty,-authority,categorization
1980,desert,-loyalty,-authority,categorization
1980,deserters,-loyalty,-authority,categorization
1980,deserting,-loyalty,-authority,categorization
1980,defiance,-authority,-authority,categorization
1980,rebel,-authority,-authority,categorization
1980,dissent,+fairness,-authority,categorization
1980,overthrow,-authority,-authority,categorization
1980,subvert,-authority,-authority,categorization
1980,seditious,-authority,-authority,categorization
1980,sedition,-authority,-authority,categorization
1980,agitated,-sanctity,-authority,categorization
1980,illegal,-fairness,-authority,categorization
1980,lawless,-authority,-authority,categorization
1980,defy,-authority,-authority,categorization
1980,alienate,-loyalty,-authority,categorization
1980,heretic,-authority,-authority,categorization
1980,oppose,-authority,-authority,categorization
1980,protest,-authority,-authority,categorization
1980,refuse,+authority,-authority,categorization
1980,riot,-care,-authority,categorization
1980,obstruct,-care,-authority,categorization
1980,ruin,-care,-sanctity,categorization
1980,ruinous,-care,-sanctity,categorization
1980,exploits,-care,-sanctity,categorization
1980,heretic,-authority,-sanctity,categorization
1980,disgust,-sanctity,-sanctity,categorization
1980,corruption,-authority,-sanctity,categorization
1980,depraved,-sanctity,-sanctity,categorization
1980,disease,-care,-sanctity,categorization
1980,unclean,-sanctity,-sanctity,categorization
1980,dirt,-sanctity,-sanctity,categorization
1980,contagion,-sanctity,-sanctity,categorization
1980,indecent,-sanctity,-sanctity,categorization
1980,sin,-sanctity,-sanctity,categorization
1980,iniquity,-sanctity,-sanctity,categorization
1980,sinful,-sanctity,-sanctity,categorization
1980,sinner,-sanctity,-sanctity,categorization
1980,sins,-sanctity,-sanctity,categorization
1980,sinned,-sanctity,-sanctity,categorization
1980,whore,-sanctity,-sanctity,categorization
1980,impiety,-sanctity,-sanctity,categorization
1980,impious,-sanctity,-sanctity,categorization
1980,profane,-sanctity,-sanctity,categorization
1980,gross,+fairness,-sanctity,categorization
1980,repulse,-loyalty,-sanctity,categorization
1980,sick,-sanctity,-sanctity,categorization
1980,promiscuous,-sanctity,-sanctity,categorization
1980,adultery,-sanctity,-sanctity,categorization
1980,debauchery,-sanctity,-sanctity,categorization
1980,defile,-sanctity,-sanctity,categorization
1980,prostitute,-sanctity,-sanctity,categorization
1980,intemperate,-sanctity,-sanctity,categorization
1980,wanton,-sanctity,-sanctity,categorization
1980,profligate,-loyalty,-sanctity,categorization
1980,filth,-sanctity,-sanctity,categorization
1980,tainted,-sanctity,-sanctity,categorization
1980,stain,-sanctity,-sanctity,categorization
1980,debased,-sanctity,-sanctity,categorization
1980,wickedness,-sanctity,-sanctity,categorization
1980,wicked,-sanctity,-sanctity,categorization
1980,blemish,-sanctity,-sanctity,categorization
1980,pervert,+fairness,-sanctity,categorization
1980,wretched,-sanctity,-sanctity,categorization
1970,safe,+fairness,+care,categorization
1970,peace,+care,+care,categorization
1970,compassionate,+sanctity,+care,categorization
1970,compassion,-sanctity,+care,categorization
1970,sympathy,-authority,+care,categorization
1970,care,+authority,+care,categorization
1970,protect,+care,+care,categorization
1970,protector,+care,+care,categorization
1970,protection,+care,+care,categorization
1970,shield,+care,+care,categorization
1970,shelter,+care,+care,categorization
1970,amity,+sanctity,+care,categorization
1970,secure,+care,+care,categorization
1970,benefit,+care,+care,categorization
1970,defend,+care,+care,categorization
1970,defender,+care,+care,categorization
1970,defence,+care,+care,categorization
1970,guard,-loyalty,+care,categorization
1970,preserve,+care,+care,categorization
1970,fair,+fairness,+fairness,categorization
1970,fairly,+fairness,+fairness,categorization
1970,equal,+fairness,+fairness,categorization
1970,justice,+care,+fairness,categorization
1970,justness,-sanctity,+fairness,categorization
1970,justification,+fairness,+fairness,categorization
1970,justifies,+fairness,+fairness,categorization
1970,justifiable,+fairness,+fairness,categorization
1970,reciprocal,+fairness,+fairness,categorization
1970,impartiality,+fairness,+fairness,categorization
1970,impartial,+fairness,+fairness,categorization
1970,rights,+care,+fairness,categorization
1970,equity,+fairness,+fairness,categorization
1970,equivalent,+fairness,+fairness,categorization
1970,balance,+fairness,+fairness,categorization
1970,reasonable,+fairness,+fairness,categorization
1970,constant,+fairness,+fairness,categorization
1970,honest,+sanctity,+fairness,categorization
1970,together,+loyalty,+loyalty,categorization
1970,nation,+loyalty,+loyalty,categorization
1970,family,+loyalty,+loyalty,categorization
1970,families,+loyalty,+loyalty,categorization
1970,group,+loyalty,+loyalty,categorization
1970,loyal,+authority,+loyalty,categorization
1970,patriot,-authority,+loyalty,categorization
1970,community,+loyalty,+loyalty,categorization
1970,companion,+loyalty,+loyalty,categorization
1970,comrades,-loyalty,+loyalty,categorization
1970,collective,+loyalty,+loyalty,categorization
1970,joint,+loyalty,+loyalty,categorization
1970,unison,+sanctity,+loyalty,categorization
1970,unite,+loyalty,+loyalty,categorization
1970,fellow,+loyalty,+loyalty,categorization
1970,devote,+authority,+loyalty,categorization
1970,member,+loyalty,+loyalty,categorization
1970,ally,+loyalty,+loyalty,categorization
1970,preserve,+care,+authority,categorization
1970,loyal,+loyalty,+authority,categorization
1970,obedience,+authority,+authority,categorization
1970,obey,+authority,+authority,categorization
1970,obedient,+authority,+authority,categorization
1970,duty,+authority,+authority,categorization
1970,law,+authority,+authority,categorization
1970,lawful,+authority,+authority,categorization
1970,legality,+fairness,+authority,categorization
1970,legal,+authority,+authority,categorization
1970,duties,+authority,+authority,categorization
1970,award,+authority,+authority,categorization
1970,honor,+authority,+authority,categorization
1970,respect,+authority,+authority,categorization
1970,respectful,+authority,+authority,categorization
1970,respected,+loyalty,+authority,categorization
1970,respects,+authority,+authority,categorization
1970,order,+authority,+authority,categorization
1970,father,+authority,+authority,categorization
1970,mother,+loyalty,+authority,categorization
1970,mothers,+loyalty,+authority,categorization
1970,tradition,+authority,+authority,categorization
1970,hierarchy,+authority,+authority,categorization
1970,authority,+authority,+authority,categorization
1970,permit,+authority,+authority,categorization
1970,permission,+authority,+authority,categorization
1970,rank,+authority,+authority,categorization
1970,leader,+loyalty,+authority,categorization
1970,lead,-care,+authority,categorization
1970,class,+loyalty,+authority,categorization
1970,position,+authority,+authority,categorization
1970,compliance,+authority,+authority,categorization
1970,command,+authority,+authority,categorization
1970,supremacy,+authority,+authority,categorization
1970,control,+care,+authority,categorization
1970,submission,+authority,+authority,categorization
1970,submit,+authority,+authority,categorization
1970,commit,-care,+authority,categorization
1970,allegiance,+authority,+authority,categorization
1970,serve,+care,+authority,categorization
1970,abide,+authority,+authority,categorization
1970,deference,+authority,+authority,categorization
1970,defer,+authority,+authority,categorization
1970,revered,+sanctity,+authority,categorization
1970,idol,-sanctity,+authority,categorization
1970,fear,-care,+authority,categorization
1970,veneration,+sanctity,+authority,categorization
1970,comply,+authority,+authority,categorization
1970,preserve,+care,+sanctity,categorization
1970,piety,+sanctity,+sanctity,categorization
1970,pious,+sanctity,+sanctity,categorization
1970,purity,+sanctity,+sanctity,categorization
1970,pure,+sanctity,+sanctity,categorization
1970,clean,-sanctity,+sanctity,categorization
1970,sacred,+sanctity,+sanctity,categorization
1970,chaste,+sanctity,+sanctity,categorization
1970,chastity,+sanctity,+sanctity,categorization
1970,holy,+sanctity,+sanctity,categorization
1970,holiness,+sanctity,+sanctity,categorization
1970,sanctify,-sanctity,+sanctity,categorization
1970,saint,+sanctity,+sanctity,categorization
1970,wholesome,+sanctity,+sanctity,categorization
1970,celibacy,+sanctity,+sanctity,categorization
1970,virgin,+sanctity,+sanctity,categorization
1970,virgins,+sanctity,+sanctity,categorization
1970,austerity,+sanctity,+sanctity,categorization
1970,integrity,+care,+sanctity,categorization
1970,modesty,+sanctity,+sanctity,categorization
1970,abstinence,-sanctity,+sanctity,categorization
1970,abstain,+authority,+sanctity,categorization
1970,upright,+sanctity,+sanctity,categorization
1970,maiden,-sanctity,+sanctity,categorization
1970,virtuous,+sanctity,+sanctity,categorization
1970,refined,+sanctity,+sanctity,categorization
1970,decent,+fairness,+sanctity,categorization
1970,decency,+sanctity,+sanctity,categorization
1970,innocent,-sanctity,+sanctity,categorization
1970,church,+sanctity,+sanctity,categorization
1970,harm,-care,-care,categorization
1970,injure,-care,-care,categorization
1970,injurious,-care,-care,categorization
1970,suffer,-care,-care,categorization
1970,war,-care,-care,categorization
1970,wars,-care,-care,categorization
1970,warlike,-authority,-care,categorization
1970,fight,-care,-care,categorization
1970,battle,-care,-care,categorization
1970,violence,-authority,-care,categorization
1970,violent,-care,-care,categorization
1970,hurt,-care,-care,categorization
1970,kill,-care,-care,categorization
1970,kills,-sanctity,-care,categorization
1970,killed,-care,-care,categorization
1970,killing,-care,-care,categorization
1970,endanger,-care,-care,categorization
1970,cruel,-sanctity,-care,categorization
1970,brutal,-authority,-care,categorization
1970,abuse,-sanctity,-care,categorization
1970,damage,-care,-care,categorization
1970,ruin,-care,-care,categorization
1970,ruinous,-sanctity,-care,categorization
1970,detrimental,-care,-care,categorization
1970,detriment,+care,-care,categorization
1970,crush,-authority,-care,categorization
1970,attack,-care,-care,categorization
1970,annihilate,-authority,-care,categorization
1970,destroy,-care,-care,categorization
1970,abandon,-loyalty,-care,categorization
1970,impair,+fairness,-care,categorization
1970,exploits,-loyalty,-care,categorization
1970,wound,-care,-care,categorization
1970,unfair,-fairness,-fairness,categorization
1970,unequal,+fairness,-fairness,categorization
1970,bias,-fairness,-fairness,categorization
1970,unjust,-fairness,-fairness,categorization
